order_index,trained_at_utc,family,label,checkpoint_rel,metrics_rel,device,strategy,policy_target,examples,replay_buffer_examples,total_seconds,policy_loss,value_loss,gate_score_rate,gate_points,gate_games,gate_draw_rate,gate_summary_rel,promotion_score_rate,promotion_points,promotion_games,promotion_delta,promotion_summary_rel,elo_estimate,elo_games
11,2026-03-08T20:59:49.138053+00:00,runtime_benchmark_fast_ref,runtime_benchmark_fast_ref,artifacts/runtime_benchmark_fast_ref/run_01_cpu8_interop2_sp1_dl0/bootstrap_model.pt,artifacts/runtime_benchmark_fast_ref/run_01_cpu8_interop2_sp1_dl0/metrics.json,cuda,,all_placements,2,,4.186,5.3671875,0.015716686844825745,,,,,,,,,,,,0
12,2026-03-08T22:45:05.289742+00:00,bootstrap_fast_wide,bootstrap_fast_wide,artifacts/bootstrap_fast_wide/bootstrap_model.pt,artifacts/bootstrap_fast_wide/metrics.json,cuda,,all_placements,99,,373.032,4.5896728515625,0.09469486586749554,0.5555555555555556,5.0,9,0.4444444444444444,artifacts/bootstrap_fast_wide/tournament/summary.json,,,,,,1234.8600702875601,9
13,2026-03-08T23:55:12.701623+00:00,bootstrap_fast_15_default,bootstrap_fast_15_default,artifacts/bootstrap_fast_15_default/bootstrap_model.pt,artifacts/bootstrap_fast_15_default/metrics.json,cuda,,all_placements,45,,9.638,5.050184488296509,0.0701801033768182,0.6666666666666666,4.0,6,0.3333333333333333,artifacts/bootstrap_fast_15_default/tournament/summary.json,,,,,,1302.1090020413224,6
14,2026-03-09T00:15:41.253971+00:00,bootstrap_fast_15_nocap,bootstrap_fast_15_nocap,artifacts/bootstrap_fast_15_nocap/bootstrap_model.pt,artifacts/bootstrap_fast_15_nocap/metrics.json,cuda,,all_placements,1101,,147.097,3.9451946147437233,0.005455751981094843,0.75,4.5,6,0.5,artifacts/bootstrap_fast_15_nocap/tournament/summary.json,,,,,,1359.176003468815,6
15,2026-03-09T00:53:53.057739+00:00,bootstrap_alphazero_fast,bootstrap_alphazero_fast,artifacts/bootstrap_alphazero_fast/bootstrap_model.pt,artifacts/bootstrap_alphazero_fast/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,348.231,4.899538345825978,0.0141361589130844,0.6666666666666666,4.0,6,0.3333333333333333,artifacts/bootstrap_alphazero_fast/tournament/summary.json,,,,,,1310.4825647755797,12
16,2026-03-09T01:22:21+00:00,alphazero_cycle_fast,alphazero_cycle_fast/c001,artifacts/alphazero_cycle_fast/cycle_001/bootstrap_model.pt,artifacts/alphazero_cycle_fast/cycle_001/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,426.248,4.9565528356111965,0.003385824313926815,0.6666666666666666,4.0,6,0.3333333333333333,artifacts\alphazero_cycle_fast\cycle_001\tournament\summary.json,,,,,,1279.2690536574903,60
17,2026-03-09T01:33:33+00:00,alphazero_cycle_fast,alphazero_cycle_fast/c002,artifacts/alphazero_cycle_fast/cycle_002/bootstrap_model.pt,artifacts/alphazero_cycle_fast/cycle_002/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,395.129,4.485909468088394,0.0031848125919658253,0.75,9.0,12,0.5,artifacts\alphazero_cycle_fast\cycle_002\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_fast\cycle_002\promotion_match\summary.json,1421.546186511551,18
18,2026-03-09T04:46:35+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c001,artifacts/alphazero_cycle_20_fast/cycle_001/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_001/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,342.993,4.932606513683613,0.005004279220860879,0.75,4.5,6,0.5,artifacts\alphazero_cycle_20_fast\cycle_001\tournament\summary.json,,,,,,1265.8183338133263,24
19,2026-03-09T04:56:53+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c002,artifacts/alphazero_cycle_20_fast/cycle_002/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_002/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,358.974,4.304013356184348,0.0031812953813455235,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_002\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_002\promotion_match\summary.json,1331.6366676266528,36
20,2026-03-09T05:31:22+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c003,artifacts/alphazero_cycle_20_fast/cycle_003/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_003/metrics.json,cuda,alphazero_self_play,visit_distribution,242,,371.498,4.027821021420615,0.09452602135862824,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_003\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_003\promotion_match\summary.json,1355.629444691204,36
